Date,Nifty_Previous_Close,Nifty_Open,Open_Change,Nifty_Low,Nifty_High,Nifty_Close,Close_Change,Close_Change_%,Volume
2025-12-30,25942.1,25940.9,-1.2,25878.0,25976.75,25938.85,-3.25,-0.01,396900
2025-12-31,25938.85,25971.05,32.2,25969.0,26187.95,26129.6,190.75,0.74,246300
2026-01-01,26129.6,26173.3,43.7,26113.4,26197.55,26146.55,16.95,0.06,425600
2026-01-02,26146.55,26155.1,8.55,26118.4,26340.0,26328.55,182.0,0.7,357500
2026-01-05,26328.55,26333.7,5.15,26210.05,26373.2,26250.3,-78.25,-0.3,338800
2026-01-06,26250.3,26189.7,-60.6,26124.75,26273.95,26178.7,-71.6,-0.27,383000
2026-01-07,26178.7,26143.1,-35.6,26067.9,26187.15,26140.75,-37.95,-0.14,338200
2026-01-08,26140.75,26106.5,-34.25,25858.45,26133.2,25876.85,-263.9,-1.01,328500
2026-01-09,25876.85,25840.4,-36.45,25623.0,25940.6,25683.3,-193.55,-0.75,348800
2026-01-12,25683.3,25669.05,-14.25,25473.4,25813.15,25790.25,106.95,0.42,275800
2026-01-13,25790.25,25897.35,107.1,25603.3,25899.8,25732.3,-57.95,-0.22,339500
2026-01-14,25732.3,25648.55,-83.75,25603.95,25791.75,25665.6,-66.7,-0.26,393100
2026-01-16,25665.6,25696.05,30.45,25662.4,25873.5,25694.35,28.75,0.11,434000
2026-01-19,25694.35,25653.1,-41.25,25494.35,25653.3,25585.5,-108.85,-0.42,443100
2026-01-20,25585.5,25580.3,-5.2,25171.35,25585.0,25232.5,-353.0,-1.38,409800
2026-01-21,25232.5,25141.0,-91.5,24919.8,25300.95,25157.5,-75.0,-0.3,395600
2026-01-22,25157.5,25344.15,186.65,25168.5,25435.75,25289.9,132.4,0.53,486400
2026-01-23,25289.9,25344.6,54.7,25025.3,25347.95,25048.65,-241.25,-0.95,393900
2026-01-27,25048.65,25063.35,14.7,24932.55,25246.65,25175.4,126.75,0.51,618700
2026-01-28,25175.4,25258.85,83.45,25187.65,25372.1,25342.75,167.35,0.66,574900
2026-01-29,25342.75,25345.0,2.25,25159.8,25458.15,25418.9,76.15,0.3,582400
2026-01-30,25418.9,25247.55,-171.35,25213.65,25370.7,25320.65,-98.25,-0.39,508400
2026-02-02,25320.65,24796.5,-524.15,24679.4,25108.1,25088.4,-232.25,-0.92,449200
2026-02-03,25088.4,26308.05,1219.65,25641.3,26341.2,25727.55,639.15,2.55,637300
2026-02-04,25727.55,25675.05,-52.5,25563.95,25818.55,25776.0,48.45,0.19,429800
2026-02-05,25776.0,25755.9,-20.1,25579.5,25757.65,25642.8,-133.2,-0.52,343800
2026-02-06,25642.8,25605.8,-37.0,25491.9,25703.95,25693.7,50.9,0.2,375500
2026-02-09,25693.7,25888.7,195.0,25780.9,25922.25,25867.3,173.6,0.68,359400
2026-02-10,25867.3,25922.65,55.35,25870.45,25989.45,25935.15,67.85,0.26,460900
2026-02-11,25935.15,25997.45,62.3,25899.8,26009.4,25953.85,18.7,0.07,331400
2026-02-12,25953.85,25906.7,-47.15,25752.4,25906.7,25807.2,-146.65,-0.57,419400
2026-02-13,25807.2,25571.15,-236.05,25444.3,25630.35,25471.1,-336.1,-1.3,453500
2026-02-16,25471.1,25423.6,-47.5,25372.7,25697.0,25682.75,211.65,0.83,275800
